item_id,title,category,duration_min,difficulty,views,likes,cognitive_benefit,social_benefit
0,ท่าไทเก๊ก 24 ท่า #0,สวนครัว/ปลูกต้นไม้,10,ง่าย,18548,317,0.5289973390677978,0.8873099927588781
1,ท่าไทเก๊ก 24 ท่า #1,ออกกำลังกาย,20,ปานกลาง,479,4565,0.40315741569871444,0.2090288833047218
2,ทำแกงส้มปลาช่อน #2,งานฝีมือ/ศิลปะ,30,ง่าย,25561,4834,0.4182172786717406,0.532695018310694
3,ดูแลกล้วยไม้ #3,ไทเก๊ก/โยคะ,15,ง่าย,8232,145,0.7688072562052654,0.26600003975772435
4,ท่าไทเก๊ก 24 ท่า #4,ทำบุญ/สมาธิ,20,ปานกลาง,35407,2979,0.5947671590763461,0.5558571068978093
5,ทอดกล้วยแขก #5,ทำบุญ/สมาธิ,5,ยาก,10307,640,0.42664021668053065,0.9624321767893933
6,ใช้ LINE วิดีโอคอล #6,สวนครัว/ปลูกต้นไม้,20,ปานกลาง,7036,1296,0.9525972748378149,0.3078573835306845
7,เดินออกกำลังกาย #7,ทำบุญ/สมาธิ,20,ยาก,40076,2952,0.7233852251802699,0.8208137119487255
8,อ่านนวนิยาย #8,การเต้น/นาฏศิลป์,5,ง่าย,41635,3463,0.793300925516379,0.6876478970072366
9,สอนใช้สมาร์ทโฟน #9,ทำอาหาร/ขนม,10,ปานกลาง,38764,2762,0.6618360169472763,0.8370558897016218
10,รำวงมาตรฐาน #10,การเต้น/นาฏศิลป์,20,ง่าย,31161,2209,0.47174027707435184,0.7982164894342905
11,ประดิษฐ์ดอกไม้ผ้า #11,การเต้น/นาฏศิลป์,5,ยาก,5957,3282,0.8287091057921776,0.9513786071519472
12,อ่านธรรมะ #12,ทำบุญ/สมาธิ,15,ง่าย,6524,4157,0.6652870552012178,0.9470182030278642
13,เล่านิทานหลาน #13,ดนตรี/ร้องเพลง,30,ยาก,30752,873,0.9461739788047545,0.4102612666498511
14,ทอดกล้วยแขก #14,สวนครัว/ปลูกต้นไม้,5,ปานกลาง,32638,4473,0.6042748247607637,0.9087195964382988
15,ยืดเส้นยืดสาย #15,ออกกำลังกาย,10,ปานกลาง,18578,3972,0.4352128300299999,0.3436316969675087
16,รำวงมาตรฐาน #16,เทคโนโลยี/มือถือ,5,ปานกลาง,45921,4346,0.8390507510795064,0.2541828682714575
17,เล่นขิม #17,ออกกำลังกาย,15,ง่าย,42733,3381,0.40429275695907313,0.5661306708138376
18,นั่งสมาธิ 15 นาที #18,การเต้น/นาฏศิลป์,20,ง่าย,19973,675,0.8924426531339589,0.5848493576485484
19,ท่าไทเก๊ก 24 ท่า #19,งานฝีมือ/ศิลปะ,20,ปานกลาง,19444,2374,0.3845265193610512,0.24829083548124295
20,ปักผ้าลายดอกไม้ #20,เทคโนโลยี/มือถือ,5,ง่าย,37218,2976,0.46141279864712265,0.6159241886305666
21,สอนใช้สมาร์ทโฟน #21,การเต้น/นาฏศิลป์,20,ปานกลาง,284,2283,0.35429046384647966,0.5895249409856691
22,ท่าไทเก๊ก 24 ท่า #22,เล่านิทาน/อ่านหนังสือ,15,ปานกลาง,3339,1657,0.4501484742428401,0.275725515371549
23,เดินออกกำลังกาย #23,ไทเก๊ก/โยคะ,20,ยาก,20184,3090,0.30156770400734717,0.9395342010514933
24,วาดภาพสีน้ำ #24,ทำอาหาร/ขนม,5,ปานกลาง,15513,35,0.9665981369448773,0.3328561388355975
25,ดูแลกล้วยไม้ #25,ทำบุญ/สมาธิ,5,ง่าย,31313,826,0.5235835421999462,0.970126350172569
26,เล่านิทานหลาน #26,ไทเก๊ก/โยคะ,20,ง่าย,36016,3157,0.7683989830248279,0.8838913109613247
27,นั่งสมาธิ 15 นาที #27,ไทเก๊ก/โยคะ,10,ง่าย,1131,3250,0.4182814364387084,0.9624300783362998
28,กายบริหารเก้าอี้ #28,ทำอาหาร/ขนม,20,ง่าย,5140,331,0.5452141875594967,0.6019491821145251
29,ทำน้ำพริก #29,เล่านิทาน/อ่านหนังสือ,20,ปานกลาง,5243,1844,0.8983325770393378,0.23398195107401387
30,กายบริหารเก้าอี้ #30,ทำอาหาร/ขนม,5,ยาก,17747,2733,0.4980755133512793,0.31712487333597805
31,ดูแลกล้วยไม้ #31,เล่านิทาน/อ่านหนังสือ,15,ง่าย,48508,306,0.8145450427477579,0.7552379972154033
32,ทำบุญออนไลน์ #32,งานฝีมือ/ศิลปะ,5,ง่าย,32946,1842,0.8953906254576471,0.23110495833258657
33,ประดิษฐ์ดอกไม้ผ้า #33,ไทเก๊ก/โยคะ,10,ง่าย,35408,16,0.7565118160770719,0.6617250955432865
34,เล่นกีตาร์เพลงไทย #34,ไทเก๊ก/โยคะ,5,ยาก,13960,4059,0.6196996527389396,0.902088078048634
35,เล่นกีตาร์เพลงไทย #35,เทคโนโลยี/มือถือ,10,ปานกลาง,2330,1056,0.9204466516665597,0.528155518853205
36,อ่านธรรมะ #36,การเต้น/นาฏศิลป์,5,ง่าย,22453,3961,0.3038019144767015,0.2421970748267354
37,ปักผ้าลายดอกไม้ #37,ดนตรี/ร้องเพลง,10,ง่าย,29766,2215,0.9277746067635062,0.6459588270595293
38,ลีลาศผู้สูงวัย #38,เทคโนโลยี/มือถือ,10,ง่าย,16015,136,0.6122225096380762,0.5400553218371567
39,สอนใช้สมาร์ทโฟน #39,ออกกำลังกาย,15,ปานกลาง,2885,854,0.753535843530297,0.3953802432821058
